side,sign,base,variant,status,base_total_attestations,base_secure_attestations,variant_total_attestations,variant_secure_attestations,secure_sites,secure_scribes
suffix,TI,DA-KU-SE-NE,DA-KU-SE-NE-TI,excluded_insecure_base,2,0,1,1,1,1
suffix,TI,JA-KU,JA-KU-TI,accepted_secure,1,1,1,1,2,0
suffix,TI,QA-KI,QA-KI-TI,excluded_insecure_base,1,0,1,1,1,0
suffix,TI,RI-RU-MA,RI-RU-MA-TI,accepted_secure,1,1,1,1,2,1
suffix,TI,SA-MA,SA-MA-TI,excluded_insecure_variant,4,4,1,0,2,2
suffix,TU,A-RA,A-RA-TU,excluded_insecure_base,3,0,1,1,1,0
suffix,TU,SI-TE,SI-TE-TU,accepted_secure,2,2,1,1,2,1
suffix,U,DI-NA,DI-NA-U,accepted_secure,2,1,6,4,3,1
suffix,WA,I-NA,I-NA-WA,excluded_insecure_base,1,0,1,1,1,0
suffix,WI,JA-DI,JA-DI-WI,accepted_secure,1,1,1,1,2,0
suffix,WI,PA3-NI,PA3-NI-WI,accepted_secure,2,2,1,1,2,2
suffix,ZA,A-DU,A-DU-ZA,accepted_secure,10,7,1,1,2,5
suffix,ZU,KU-PA,KU-PA-ZU,accepted_secure,4,3,1,1,3,2
