commentary_id,form,table_occurrences,left_insecure_occurrences,right_insecure_occurrences,any_insecure_occurrences,source_files,evidence
HTWa1074-1078,WINGS-TAIL,1,0,1,1,HTWa1074-1078.html, NO. 105: DISPLAYED WINGS-TAIL [ZAKROS MASTER]) CO
HTWa1075,WINGS-TAIL,1,0,1,1,HTWa1075.html, NO. 105: DISPLAYED WINGS-TAIL [ZAKROS MASTER]) CO
HTWa1076,WINGS-TAIL,1,0,1,1,HTWa1076.html, NO. 105: DISPLAYED WINGS-TAIL [ZAKROS MASTER]) CO
HTWa1077,WINGS-TAIL,1,0,1,1,HTWa1077.html, NO. 105: DISPLAYED WINGS-TAIL [ZAKROS MASTER]) CO
HTWa1078,WINGS-TAIL,1,0,1,1,HTWa1078.html, NO. 105: DISPLAYED WINGS-TAIL [ZAKROS MASTER]) CO
HTWa1079,WINGS-TAIL,1,0,1,1,HTWa1079.html, NO. 105: DISPLAYED WINGS-TAIL [ZAKROS MASTER]) CO
HTWa1079-1085,WINGS-TAIL,1,0,1,1,HTWa1079-1085.html, NO. 105: DISPLAYED WINGS-TAIL [ZAKROS MASTER]) CO
HTWa1080,WINGS-TAIL,1,0,1,1,HTWa1080.html, NO. 105: DISPLAYED WINGS-TAIL [ZAKROS MASTER]) CO
HTWa1081,WINGS-TAIL,1,0,1,1,HTWa1081.html, NO. 105: DISPLAYED WINGS-TAIL [ZAKROS MASTER]) CO
HTWa1082,WINGS-TAIL,1,0,1,1,HTWa1082.html, NO. 105: DISPLAYED WINGS-TAIL [ZAKROS MASTER]) CO
HTWa1083,WINGS-TAIL,1,0,1,1,HTWa1083.html, NO. 105: DISPLAYED WINGS-TAIL [ZAKROS MASTER]) CO
HTWa1084,WINGS-TAIL,1,0,1,1,HTWa1084.html, NO. 105: DISPLAYED WINGS-TAIL [ZAKROS MASTER]) CO
HTWa1085,WINGS-TAIL,1,0,1,1,HTWa1085.html, NO. 105: DISPLAYED WINGS-TAIL [ZAKROS MASTER]) CO
HTZb158,TU-SE-SU-KI,1,1,0,1,HTZb158.html,MAGAZINE 5) A: ][•]-TU-SE-SU-KI B: SU-KI-RI-TE-I-JA
HTZb159,A-NA-NU-SI-JA-SE,1,0,1,1,HTZb159.html,"66), PITHOS (VILLA) A-NA-NU-SI-JA-SE[ COMMENTARY © JOHN "
HTZb161,SI-PU,1,1,1,1,HTZb161.html,(VILLA MAGAZINE 5) ]SI-PU [ COMMENTARY © JOHN
HTZd155,TA-JA,1,0,1,1,HTZd155.html,2 E *319 3 E F *319 TA-JA [= 5 ] K [ A-JU • N
HTZd157+156,WI-JA-SU-MA-TI-TI-*319,1,0,1,1,HTZd157+156.html, 134-135+132-133) • WI-JA-SU-MA-TI-TI-*319 [ ] NE 1 NE 1 J *31
IOZa10,A-SA-SA-RA-ME,2,1,0,1,IOZa10.html, III-LM I CONTEXT) ]A-SA-SA-RA-ME ON ANALOGY WITH PO 
IOZa11,DA-DA,1,1,1,1,IOZa11.html,PER LINE): ]-NA-[•]-DA-DA-[• • •][ ] .B (LOWE
IOZa11,U-TI-NU,1,1,0,1,IOZa11.html,"INE, RETROGRADE): ] U-TI-NU • I-NA-I-DA-•[ BOTH"
IOZa12,I-TI,1,0,1,1,IOZa12.html,A-SA-.B:-SA-RA-ME • I-TI-[ THE TWO SIDES BRE
