stem,depth,terminal,form,occurrences,site_count,sites,scribe_count,scribes,supports,warning_classes,manual_tier,manual_adjudication,containment_count,containment_examples
RU-JA,2,TA-DI,RU-JA-TA-DI,1,1,HAGHIA TRIADA,1,HT WC SCRIBE 10,ROUNDEL,,,,0,
RU-MA,2,TA-SE,RU-MA-TA-SE,1,1,ZAKROS,1,ZA SCRIBE 3,TABLET,,,,0,
RU-PI,2,*305-MI,RU-PI-*305-MI,1,1,PETRAS,0,,TABLET,,,,0,
SA-MI,2,DA-E,SA-MI-DA-E,1,1,ZAKROS,1,ZA SCRIBE 5,TABLET,,,,0,
SA-SA,2,RA-ME,SA-SA-RA-ME,2,2,KNOSSOS|PALAIKASTRO,0,,INKED INSCRIPTION|STONE VESSEL,,,,1,JA-SA-SA-RA-ME
SE-TO,2,I-JA,SE-TO-I-JA,1,1,PRASSA,0,,STONE VESSEL,,,,0,
SE-WA,2,AU-DE,SE-WA-AU-DE,1,1,ZAKROS,0,,LABEL,,,,0,
SI-DU-*34,2,KU-MI,SI-DU-*34-KU-MI,1,1,HAGHIA TRIADA,0,,TABLET,,,,0,
SI-RU-MA,2,RI-TA2,SI-RU-MA-RI-TA2,1,1,HAGHIA TRIADA,1,HT SCRIBE 2,TABLET,,,,0,
SI-SI-ZA,2,NE-*310,SI-SI-ZA-NE-*310,1,1,KNOSSOS,0,,METAL OBJECT,,,,0,
SI-TU,2,RA2-RE,SI-TU-RA2-RE,1,1,HAGHIA TRIADA,0,,TABLET,,,,0,
SU-KI,2,RI-TA,SU-KI-RI-TA,1,1,PHAISTOS,0,,NODULE,,,,0,
SU-KI-RI-TE,2,I-JA,SU-KI-RI-TE-I-JA,1,1,HAGHIA TRIADA,0,,CLAY VESSEL,,,,0,
TA-I-NU,2,MA-PA,TA-I-NU-MA-PA,1,1,ZAKROS,1,ZA SCRIBE 2,TABLET,,,,0,
TA-NA,2,MA-JE,TA-NA-MA-JE,1,1,PETRAS,0,,STONE OBJECT,,,,0,
