commentary_id,form,exclude_count,boundary_insecure_count,continuation_fragment_count,complex_logogram_count,cross_script_count,source_override_count,reason_classes,evidence_text
HT125,OLE-U,1,0,0,1,0,0,complex_logogram,OLE+ U {*610}[
HT125,RE-TA,1,1,0,0,0,0,physical_boundary,[ B.2 ] 20 B.3 ] RE-TA 2 GRA+PA {*574} 2
HT125,SA-RA,1,1,0,0,0,0,physical_boundary,{*622} 1 J[ A.4 ]SA-RA 2 GRA 2 A.4 OLE[
HT126,A-NA,1,1,0,0,0,0,physical_boundary,SI • *318 • [ A.2 A-NA-[•] 1 A.2 U [ A.3
HT127,*629-DA-*47-KU,1,1,0,0,0,0,physical_boundary,04+PA-DA-*47-KU[ {*629-DA-*47-KU[} 1 B.1 ] VEST. [
HT127,DU-NE-MI,1,1,0,0,0,0,physical_boundary,.1 ] VEST. [ A.2 ]DU-NE-MI 1 [ A.3 ]*304+PA-
HT127,KI-ME,2,0,0,2,0,0,complex_logogram,KI+ME {*545} || [[ KI+ME {*545}
HT127,PA-DA-*47-KU,1,1,0,0,0,0,physical_boundary,-MI 1 [ A.3 ]*304+PA-DA-*47-KU[ {*629-DA-*47-KU[
HT127,VIR-*313C,1,0,0,1,0,0,complex_logogram,VIR+*313C {*572}
HT128,GRA-KU,6,0,0,6,0,0,complex_logogram,GRA+KU {*579} || GRA + KU {*579} || GRA +KU {*579}
HT128,GRA-PA,1,0,0,1,0,0,complex_logogram,GRA+PA {*574}
HT128,MA-RI,1,1,0,0,0,0,physical_boundary,A+KU {*579} 4 A.4 MA-RI [ INFRA MUTILA B.
HT128,MI-TA,1,1,0,0,0,0,physical_boundary,{*579} 12 [ A.3 ]MI-TA GRA+PA {*574} J[
HT129,OLE-DI,1,0,0,1,0,0,complex_logogram,OLE+DI {*608}
HT129,OLE-KI,1,0,0,1,0,0,complex_logogram,]OLE+KI {*618}
HT130,KU-RO,1,1,0,0,0,0,physical_boundary,.3 ] RA 2 [ .4 ] KU-RO [ _______________
HT131,PO-TO-KU-RO,1,1,0,0,0,0,physical_boundary,_____________ B.4 PO-TO-KU-RO [ ] 452 J[
HT131,VINA-SA,1,0,0,1,0,0,complex_logogram,VINA+SA {*589}[
HT133,TE-GRA-DA,1,0,0,1,0,0,complex_logogram,TE GRA+DA {*573}
HT135,F-NE,1,1,0,0,0,0,physical_boundary,A.3 ] 1 A.3 NA-QI F-NE[ A.4 ] MI 2 B.1 ]
HT135,MI-KA,1,1,0,0,0,0,physical_boundary,A.2 ]-MI-TU • A.2 MI-KA[ A.3 ] 1 A.3 NA-Q
HT135,MI-TU,1,1,0,0,0,0,physical_boundary,-MI-NA 10 [ A.2 ]-MI-TU • A.2 MI-KA[ A.3
HT135,NE-MI-NA,1,1,0,0,0,0,physical_boundary,UPRA MUTILA A.1 ] NE-MI-NA 10 [ A.2 ]-MI-TU
HT135,TA-NE,1,1,0,0,0,0,physical_boundary,] MI 2 B.1 ][••]-TA-NE[ B.2 2 B.3-4 VACA
HT137,OLE-MI,1,0,0,1,0,0,complex_logogram,OLE + MI {*622}
HT139,KA-RA,1,1,0,0,0,0,physical_boundary,] 1 .2 OLE J .3 ]KA-RA 2 [ INFRA MUTILA
HT139,PU-MA-KU,1,1,0,0,0,0,physical_boundary,BER FRACTION .1 ]-PU-MA-KU[ .2 ] GRA [ ] 1 .
HT140,OLE-KI,2,0,0,2,0,0,complex_logogram,• OLE+KI {*618}
HT140,OLE-U,8,0,0,8,0,0,complex_logogram,OLE+ U {*610} || OLE+U {*610} || ]OLE+U {*610}
HT140,U-*34-SI,1,1,0,0,0,0,physical_boundary,*618} 1 J .2 • .2 U-*34-SI [•] .2 * 86-SI-*1
HT141,A-RI,1,1,0,0,0,0,physical_boundary,MUTILA .1 ] 1 .1 A-RI-[ .2 ]RU-DI-[ INF
HT141,RU-DI,1,1,0,0,0,0,physical_boundary,] 1 .1 A-RI-[ .2 ]RU-DI-[ INFRA MUTILA
HT15,GRA-L3-L3,1,0,0,1,0,0,complex_logogram,GRA+L3L3 {*586}
HT154A,TU-ME-PA-JA,1,1,0,0,0,0,physical_boundary,BER FRACTION .1 ] TU-ME-PA-JA [ .2 ] OLIV [ .2
HT154J,NU-TE,1,1,0,0,0,0,physical_boundary,1 ] VEST. [ A.2 ] NU-TE [ INFRA MUTILA SU
HT16,*188-KU,1,0,0,1,0,0,complex_logogram,*188+KU {*684}
HT18,GRA-QE,1,0,0,1,0,0,complex_logogram,GRA+QE {*578}
HT18,OLE-KI,1,0,0,1,0,0,complex_logogram,OLE+KI {*618}
HT2,KI-RE-TA-NA,1,1,0,0,0,0,physical_boundary,+E {*613} 3 [ .3 ]KI-RE-TA-NA OLE+U {*610} 5 4
HT2,OLE-A,2,0,0,2,0,0,complex_logogram,]OLE+A {*609}
HT2,OLE-E,1,0,0,1,0,0,complex_logogram,OLE+E {*613}
HT2,OLE-U,2,0,0,2,0,0,complex_logogram,OLE+U {*610}
HT20,*188-KU,1,0,0,1,0,0,complex_logogram,*188+KU {*684}
HT21,OLE-E,1,0,0,1,0,0,complex_logogram,OLE+E {*613}
HT21,OLE-U,1,0,0,1,0,0,complex_logogram,OLE+U {*610}
HT22,GRA-L2,1,0,0,1,0,0,complex_logogram,GRA+L2 {*585}
HT23,MI-JA-RU,2,0,0,2,0,0,complex_logogram,MI + JA +RU {*550} || MI + JA +RU {*550}[
HT23,OLE-NE,1,0,0,1,0,0,complex_logogram,OLE+NE {*612}
HT23,OLE-RI,1,0,0,1,0,0,complex_logogram,OLE+RI {*614}
HT23,OLE-TU,1,0,0,1,0,0,complex_logogram,OLE+TU {*621}
HT23,QA-PU,2,0,0,2,0,0,complex_logogram,QA +[?]+ PU {*508} || QA +[?]+PU {*510}[
HT23,QA-RE,2,0,0,2,0,0,complex_logogram,QA +[?]+ RE {*509} || QA +[?]+ RE {*508}
HT23,SI-ME,1,0,0,1,0,0,complex_logogram,SI+ME {*530}
HT24,JA-KA-*118,1,0,0,1,0,0,complex_logogram,JA+KA {*539} *118
HT24,KI-MA-RU,1,0,0,1,0,0,complex_logogram,KI MA+RU[ {*546}
HT24,MA-RU,1,0,0,1,0,0,complex_logogram,MA+RU {*560}[
HT24,MA-RU-ME,3,0,0,3,0,0,complex_logogram,MA+RU ME {*561} || MA+RU ME {*561}[
HT24,SI-ME-KI-*118,1,0,0,1,0,0,complex_logogram,SI+ME KI {*531} *118
HT25,DI-NA-U,1,1,0,0,0,0,physical_boundary,UTILA A.1 ] 1 A.1 DI-NA-U [ A.2 ]RU-NI 1 A.
HT25,DU-RU-WI,1,1,0,0,0,0,physical_boundary,ZU-JU-PU 2 1 A.4 DU-RU-WI[ A.5 ] I-KI-RA 1
HT25,I-KI-RA,1,1,0,0,0,0,physical_boundary,4 DU-RU-WI[ A.5 ] I-KI-RA 1 A.5 PA 1 SUPRA
HT25,RU-NI,1,1,0,0,0,0,physical_boundary,.1 DI-NA-U [ A.2 ]RU-NI 1 A.2 U-RE-WI 1 A
