side,rank,sign,score,boundary_count,internal_count,boundary_enrichment_log2,exact_extension_pairs,pair_sites,pair_scribes,pair_attestations,examples
suffix,56,*904,1.778873,1,0,1.528873,0,0,0,0,
suffix,57,SU,1.729277,15,20,-0.459445,2,2,2,10,KU-NI ~ KU-NI-SU | A-RI ~ A-RI-SU
suffix,58,*49,1.666303,3,1,1.166303,0,0,0,0,
suffix,59,MA,1.602337,32,41,-0.408761,1,2,0,2,JA-SA-SA-RA ~ JA-SA-SA-RA-MA
suffix,60,PA₃,1.571803,10,17,-0.793055,3,5,2,6,KU-PA₃ ~ KU-PA₃-PA₃ | JA-KI ~ JA-KI-PA₃ | JA-WA ~ JA-WA-PA₃
suffix,61,U,1.507989,12,13,-0.167121,1,3,1,8,DI-NA ~ DI-NA-U
suffix,62,KA,1.408859,35,31,0.116378,0,0,0,0,
suffix,63,NI,1.385917,22,30,-0.494974,1,1,2,2,MI-DA ~ MI-DA-NI
suffix,64,DA,1.325667,23,45,-1.009295,2,6,1,8,PA-TA ~ PA-TA-DA | I-DA ~ I-DA-DA
suffix,65,KI,1.240766,24,37,-0.670198,1,2,1,3,A-PA ~ A-PA-KI
suffix,66,KE,1.141369,7,5,0.391369,0,0,0,0,
suffix,67,*47,1.077117,2,1,0.680876,0,0,0,0,
suffix,68,SA,1.015379,19,55,-1.565103,3,8,1,9,QA-*118 ~ QA-*118-SA | A-JE ~ A-JE-SA | JA-SA ~ JA-SA-SA
suffix,69,RI,0.990722,19,45,-1.278482,2,4,3,7,TU-PA ~ TU-PA-RI | KU-PA ~ KU-PA-RI
suffix,70,I,0.988351,20,48,-1.298450,2,2,1,4,KI-TA ~ KI-TA-I | TU-ME ~ TU-ME-I
suffix,71,PU₂,0.984886,4,5,-0.345596,1,2,0,2,TU-SU ~ TU-SU-PU₂
suffix,72,A,0.931542,7,14,-1.007180,2,6,2,8,I-DA ~ I-DA-A | MA-RU ~ MA-RU-A
suffix,73,PI,0.846048,13,23,-0.855791,1,2,0,2,JA-WA ~ JA-WA-PI
suffix,74,QA,0.551655,5,9,-0.844586,1,2,1,2,JA-PA ~ JA-PA-QA
suffix,75,ZU,0.452333,6,12,-0.999506,1,3,3,5,KU-PA ~ KU-PA-ZU
suffix,76,O,0.340151,2,2,-0.056090,0,0,0,0,
